Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Affaires économiques / Economische zaken;"Cellule Emploi : Services :
Cap vers l'Emploi - testing covid safe ticket - Accepté par simple facture - Exemptions à la TVA";"Cel Tewerkstelling : Diensten : 
Op weg naar werk - test covid safe ticket - Aanvaarding op eenvoudige factuur - Vrijstelling van BTW";2021-09-12;Croix Rouge;775,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Commerce : Services : 
teambuilding - Session plénière + UNIsharing - Accepté par simple facture";"Handel : Diensten : 
Teambuilding - Plenaire zitting + UNIsharing - Aanvaard op eenvoudige factuur";2021-04-02;Productions Associées - UNISK;3.527,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affaires économiques / Economische zaken;"Commerce : Services : 
Teambuilding : Intervention Thibaut Georgin - Accepté par simple facture";"Handel : Diensten : 
Teambuilding : Interventie Thibaut Georgin - Aanvaard op eenvoudige factuur";;Igneos SCRL;363,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de plomberie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/3803);Overheidsopdracht voor de levering van materiaal van loodgieterij gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/3803);2021-07-01;DESCO;1.021,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4228);Overheidsopdracht van werken met als doel : depannage - elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4228);2021-07-01;ENTRANCE SERVICES;683,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3818);Overheidsopdracht voor de levering van materiaal van HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3818);2021-01-21;SCHNEIDER ELECTRIC;4.942,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4176);Overheidsopdracht van diensten met als doel : onderhoud - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4176);2021-01-21;B.S.I.;262,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4193);Overheidsopdracht van diensten met als doel : onderhoud - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4193);2021-01-21;BEGELEC Security Systems;1.512,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4231);Overheidsopdracht van werken met als doel : depannage - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4231);2021-01-21;BEGELEC Security Systems;1.250,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/4195);Overheidsopdracht van diensten met als doel : onderhoud - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/4195);2021-01-21;B.S.I.;397,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4238);Overheidsopdracht van diensten met als doel : onderhoud - elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4238);2021-01-21;ENTROPIA CRITICAL CONCEPTS nv.;17.280,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4248);Overheidsopdracht van werken met als doel : depannage - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4248);2021-01-28;BEGELEC Security Systems;800,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - ascenseur conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4246);Overheidsopdracht van werken met als doel : depannage - liften gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4246);2021-01-28;SCHINDLER;96,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de sanitaire conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3825);Overheidsopdracht voor de levering van materiaal van sanitair gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3825);2021-01-28;SANISTOCK;883,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4266);Overheidsopdracht van diensten met als doel : onderhoud - HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4266);2021-11-02;BOELS RENTAL;1.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4253);Overheidsopdracht van werken met als doel : depannage - elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4253);2021-11-02;AQUAFONTAL  BVBA;15.346,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2020/3807);Overheidsopdracht voor de levering van materiaal van elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2020/3807);2021-11-02;ELECTRIC;10.941,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : entretien - HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4267);Overheidsopdracht van werken met als doel : onderhoud - HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4267);2021-11-02;FLOW CONTROL BELGIUM BV;21.950,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - ascenseur conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4275);Overheidsopdracht van werken met als doel : depannage - liften gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4275);2021-04-03;CROMBEZ & BAEYENS;203,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3844);Overheidsopdracht voor de levering van materiaal van HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3844);2021-04-03;REMEHA  nv;323,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de électricité conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3846);Overheidsopdracht voor de levering van materiaal van elektriciteit gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3846);2021-04-03;ELECTRIC;10.973,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4272);Overheidsopdracht van diensten met als doel : onderhoud - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4272);2021-11-03;BEGELEC Security Systems;2.252,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de plomberie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3866);Overheidsopdracht voor de levering van materiaal van loodgieterij gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3866);2021-11-03;SANISTOCK;2.100,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4286);Overheidsopdracht van werken met als doel : depannage - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4286);2021-11-03;BEGELEC Security Systems;8.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3843);Overheidsopdracht voor de levering van materiaal van HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3843);2021-11-03;INDUSCABEL - ID GROUP;1.280,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : étude - HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4290);Overheidsopdracht van diensten met als doel : studie - HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4290);2021-11-03;AMPLEXOR Luxembourg;174,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4298);Overheidsopdracht van werken met als doel : depannage - HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4298);2021-03-25;WILO;1.060,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de sanitaire conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3845);Overheidsopdracht voor de levering van materiaal van sanitair gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3845);2021-03-25;DESCO;2.450,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3850);Overheidsopdracht voor de levering van materiaal van HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3850);2021-03-25;INDUSCABEL - ID GROUP;505,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4282);Overheidsopdracht van diensten met als doel : onderhoud - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4282);2021-03-25;B.S.I.;5.326,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3863);Overheidsopdracht voor de levering van materiaal van HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3863);2021-03-25;REMEHA  nv;492,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de services ayant pour but : entretien - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4302);Overheidsopdracht van diensten met als doel : onderhoud - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4302);2021-03-25;B.S.I.;317,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de HVAC conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3854);Overheidsopdracht voor de levering van materiaal van HVAC gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3854);2021-01-04;SANISTOCK;14.206,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - alarme conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4337);Overheidsopdracht van werken met als doel : depannage - alarm gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4337);2021-04-29;B.S.I.;132,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - sanitaire conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4356);Overheidsopdracht van werken met als doel : depannage - sanitair gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4356);2021-06-05;COFELY Services;7.778,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - sanitaire conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4348);Overheidsopdracht van werken met als doel : depannage - sanitair gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4348);2021-06-05;IJSFABRIEK;486,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - ascenseur conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4355);Overheidsopdracht van werken met als doel : depannage - liften gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4355);2021-06-05;KONE;5.239,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de travaux ayant pour but : dépannage - plomberie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/4346);Overheidsopdracht van werken met als doel : depannage - loodgieterij gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/4346);2021-06-05;SANISTOCK;228,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine public / Openbaar patrimonium;Marché public de fournitures de matériel de plomberie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges n°2021/3857);Overheidsopdracht voor de levering van materiaal van loodgieterij gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr.2021/3857);2021-05-20;DESCO;13.637,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
